month,monthly_total,rolling_3mo_avg
2020-03,9628,9628
2020-04,26710,18169
2020-05,25804,20714
2020-06,7627,20047
2020-07,7112,13514
2020-08,1969,5569
2020-09,609,3230
2020-10,450,1009
2020-11,237,432
2020-12,852,513
2021-01,6813,2634
2021-02,868,2844
2021-03,47,2576
2021-04,261,392
2021-06,2434,914
2021-07,80,925
2021-08,1867,1460
2021-09,161,703
2021-10,22,683
2021-11,2070,751
2021-12,1200,1097
2022-01,510,1260
2022-02,3685,1798
2022-03,5714,3303
2022-04,4128,4509
2022-05,12985,7609
2022-06,17394,11502
2022-07,16238,15539
2022-08,13055,15562
2022-09,5881,11725
2022-10,20471,13136
2022-11,53594,26649
2022-12,10664,28243
2023-01,89709,51322
2023-02,40002,46792
2023-03,37963,55891
2023-04,20100,32688
2023-05,15127,24397
2023-06,11206,15478
2023-07,10690,12341
2023-08,10178,10691
2023-09,4707,8525
2023-10,8076,7654
2023-11,8373,7052
2023-12,8189,8213
2024-01,34137,16900
2024-02,15729,19352
2024-03,7403,19090
2024-04,22423,15185
2024-05,11011,13612
2024-06,10083,14506
2024-07,9051,10048
2024-08,25944,15026
2024-09,4036,13010
2024-10,3782,11254
2024-11,6755,4858
2024-12,2568,4368
2025-01,2537,3953
2025-02,18474,7860
2025-03,8914,9975
2025-04,25220,17536
2025-05,10577,14904
2025-06,1606,12468
2025-07,16648,9610
2025-08,6452,8235
2025-09,4454,9185
2025-10,19070,9992
2025-11,8932,10819
2025-12,1552,9851
2026-01,25148,11877
2026-02,11269,12656
2026-03,46593,27670
2026-04,5016,20959
2026-05,28889,26833
2026-06,1397,11767
